1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Gudul Lurker,DTK,Les dragons ignorent généralement tout ce qui est petit.,,
Guided Strike,JU,"« Que l'Ancêtre renforce ma main et guide ma lame. »
—Un prieur de guerre nomade.",,
Guided Strike,WL,"« Si vous pouvez tuer votre ennemi du premier coup, vous vous pouvez épargnez la peine du second. »
—Gerrard, de l'Aquilon.",,
Guiding Spirit,VI,"Serviteur de l'éternel Soleil ! Que la resplendisse à nouveau sous tes ailes protectrices.
— « Chanson pour le Soleil », chanson fémeiref.",,
Guildscorn Ward,GTC,"« Les Sans porte se sont levés. Les Dix tomberont. »
—Graffiti de la Neuvième Circonscription",,
Guilty Conscience,SC,"« Ceux qui se sentent coupables le sont rarement. Ceux qui ne se sentent pas coupables le sont toujours. »
—Proverbe de l'Ordre",,
Guise of Fire,AVR,"« Le feu finit par consumer un zombie, mais un zombie en feu détruit d'abord un tas de choses. »
—Rem Karolus, lame des Inquisiteurs",,
Gulf Squid,PY,"S'il pouvait se servir de toute la puissance qu'il dépense, il serait invincible.",,
Guma,US,"Quand le géant retourna se coucher, il trouva un ondin mort sur son oreiller. Et, quoiqu'il félicitait le petit guma, il se demanda intérieurement où ce dernier avait caché la tête.",,
Gurmag Angler,FRF,"Si tous les êtres du marais de Gurmag ont faim de chair humaine, quel appât serait plus efficace ?",,
Gurmag Swiftwing,KTK,"« Tout ce qu'un faucon peut faire, une chauve-souris le fait dans l'obscurité la plus totale. »
—Urdnan le Vagabond",,
Gush,AJVC,Ne confiez pas vos secrets aux flots de l'océan.,,
Gush,DD2,Ne confiez pas vos secrets aux flots de l'océan.,,
Gush,DD3,Ne confiez pas vos secrets aux flots de l'océan.,,
Gush,JVC,Ne confiez pas vos secrets aux flots de l'océan.,,
Gush,MM,Ne confiez pas vos secrets aux flots de l'océan.,,
Gush,VMA,Ne confiez pas vos secrets aux flots de l'océan.,,
Gust-Skimmer,MBS,"Les nuées de smog phyrexian étouffaient les cieux, menaçant des créatures qui ne comprenaient pas le danger qu'elles dissimulaient.",,
Gust-Skimmer,MM2,"Les nuées de smog phyrexian étouffaient les cieux, menaçant des créatures qui ne comprenaient pas le danger qu'elles dissimulaient.",,
Gustcloak Harrier,DDO,"Virant soudain de l'aile, l'avemain plongea vers le sol et disparut.",,
Gustcloak Harrier,EVK,"Virant soudain de l'aile, l'avemain plongea vers le sol et disparut.",,
Gustcloak Harrier,ON,"Virant soudain de l'aile, l'avemain plongea vers le sol et disparut.",,
Gustcloak Harrier,VMA,"Virant soudain de l'aile, l'avemain plongea vers le sol et disparut.",,
Gustcloak Runner,ON,Ceux qui espionnent la Coterie doivent être très discrets pour ne pas connaître une fin très discrète.,,
Gustcloak Savior,DDO,"« Nos flèches de mort volèrent droit vers les avemains. Puis...Plus rien. »
—Garde du colisée",,
Gustcloak Savior,EVK,"« Nos flèches de mort volèrent droit vers les avemains. Puis...Plus rien. »
—Garde du colisée",,
Gustcloak Savior,ON,"« Nos flèches de mort volèrent droit vers les avemains. Puis...Plus rien. »
—Garde du colisée",,
Gustcloak Sentinel,DDL,"Des régiments entiers ont mystérieusement disparu du champ de bataille, s'évanouissant avant que les armes ennemies ne les frappent.",,
Gustcloak Sentinel,DDO,"Des régiments entiers ont mystérieusement disparu du champ de bataille, s'évanouissant avant que les armes ennemies ne les frappent.",,
Gustcloak Sentinel,EVK,"Des régiments entiers ont mystérieusement disparu du champ de bataille, s'évanouissant avant que les armes ennemies ne les frappent.",,
Gustcloak Sentinel,HVM,"Des régiments entiers ont mystérieusement disparu du champ de bataille, s'évanouissant avant que les armes ennemies ne les frappent.",,
Gustcloak Sentinel,ON,"Des régiments entiers ont mystérieusement disparu du champ de bataille, s'évanouissant avant que les armes ennemies ne les frappent.",,
Gustcloak Skirmisher,DDO,Ils sont passés maîtres dans l'art de forcer la chance.,,
Gustcloak Skirmisher,EVK,Ils sont passés maîtres dans l'art de forcer la chance.,,
Gustcloak Skirmisher,ON,Ils sont passés maîtres dans l'art de forcer la chance.,,
Gustrider Exuberant,ALA,« Les elfes revendiquent la canopée. Les nacatls revendiquent les montagnes. Vous croyez vraiment que nous allons rester dans la jungle ? »,,
Gut Shot,MM2,"« Par ici, on connaît une version plus pointue des écritures. »
—Argousin d'Urabrask",,
Gut Shot,NPH,"« Par ici, on connaît une version plus pointue des écritures. »
—Argousin d'Urabrask",,
Gutless Ghoul,CS,"« Assure-toi que ces misérables ne se nourrissent que des pestiférés. Le sang de ceux qui ne sont pas contaminés m'est réservé. »
—Garza Zol, reine de la peste",,
Gutter Skulk,GTC,"En découvrant la colonie infestant ses entrepôts, Gaven hésita entre faire appel à un dératiseur ou à un exorciste.",,
Guttersnipe,C13,"Il veut voir Ravnica brûler, âme après âme.",,
Guttersnipe,RTR,"Il veut voir Ravnica brûler, âme après âme.",,
Guttural Response,SHM,"Le beuglement de raid de Moût était tel qu'il brisait l'acier, dissolvait les auras et tranchait les contresorts.",,
Gutwrencher Oni,CHK,"« Le bruit du sang. Le chant du sang. La soif du sang et la vie du sang. »
—Chant ogre",,
Guul Draz Vampire,ZEN,« L'odeur du sang d'une créature est un signal qui ne peut pas être dissimulé. »,,
"Gwafa Hazid, Profiteer",CFX,« Tout le monde a son prix. »,,
Gwendlyn Di Corci,LG,"Urborg est devenu le lieu du dernier repos de nombreux escrimeurs de renom, leur acier ayant été surpassé par les ruses de Gwendlyn.",,
Gwendlyn Di Corci,ME3,"Urborg est devenu le lieu du dernier repos de nombreux escrimeurs de renom, leur acier ayant été surpassé par les ruses de Gwendlyn.",,
Haazda Exonerator,DIS,"« Cette aura menace la vertu de votre âme. L'arracher ne sera facile ni pour vous, ni pour moi. Nous commencerons dès que vous serez prêt. »",,
Haazda Shield Mate,DIS,Le bouclier d'Haazda est suffisamment grand pour protéger les hommes libres et les membres des guildes.,,
Haazda Snare Squad,DGM,"Agents de probation, simples soldats, chasseurs de primes : ils sont prêts à tout pour sécuriser leur circonscription.",,
Hada Freeblade,WWK,« Je turbinais dans les mines de Kazuul à l'âge huit ans. Je pense pouvoir survivre à une petite randonnée. »,,
Hagra Crocodile,ZEN,Les créatures de Zendikar sont opportunistes et mangent ce qui est à leur portée. Comme les gobelins. Ou les bateaux.,,
Hagra Diabolist,ZEN,"« Quand on explore les régions les plus noires, la méchanceté devient vite le meilleur complice. »",,
Hagra Sharpshooter,BFZ,"« Trouver leurs points faibles n'est pas facile, mais la démarche me plaît beaucoup. »",,
Hail of Arrows,10E,"« Qu'aucune flèche ne soit décochée avant mon ordre. Et quand je le donnerai, je ne veux plus voir la moindre flèche dans Eiganjo. »
—Général Takeno",,
Hail of Arrows,SOK,"« Ne décochez pas de flèche avant mon ordre. Et quand je le donnerai, je ne veux plus voir la moindre flèche dans Eiganjo. »
—Général Takeno",,
Hail Storm,AL,"« S'ils ne peuvent supporter la grete, qu'ils restent chez eux. »
—Arna Kennerüd, chevalier céleste.",,
Hail Storm,TSB,"« S'ils ne peuvent supporter la grêle, qu'ils restent chez eux. »
—Arna Kennerüd, chevalier céleste",,
Hair-Strung Koto,CHK,"« La Guerre des kami rendit fou une grande partie des courtisans de Konda. Assaillis par leur monde spirituel, leurs âmes refusaient de voir la réalité. »
—L'histoire de Kamigawa",,
Halberdier,OD,Sa réputation le précède. Son arme aussi.,,
Halcyon Glaze,RAV,"« De la terre à l'Æther, Ô merveille de la vie, de l'immobilité au ciel. »
—Incantation de vernissage",,
Halfdane,LG,"« Salutation de Tolaria la toujours changeante. »
—'Dane.",,
Halfdane,ME3,"« Salutation de Tolaria la toujours changeante. »
—'Dane.",,
Halimar Tidecaller,BFZ,« Apaiser les vagues ? Pourquoi ferais-je une chose pareille ? »,,
Hall of Triumph,GDC,"Les héros agissent sans songer à la gloire ou aux récompenses. Les gratifications sont une conséquence, pas un but.",,
Hall of Triumph,JOU,"Les héros agissent sans songer à la gloire ou aux récompenses. Les gratifications sont une conséquence, pas un but.",,
Hall of Triumph,MGD,"Les héros agissent sans songer à la gloire ou aux récompenses. Les gratifications sont une conséquence, pas un but.",,
Hallow,DS,"« Ployez sous la tempête, puis réagissez avec la même force. »",,
Hallowed Burial,EVE,"« Je préfère les cris de la bataille au silence qui s'en suit. »
—Talara, protecturge elfe",,
Hallowed Fountain,RTR,Un endroit où se relaxer...à condition d'avoir l'autorisation requise.,,
Hallowed Fountain,ZEXP,Un endroit où se relaxer...à condition d'avoir l'autorisation requise.,,
Hallowed Ground,IA,"« Qu'à cet endroit où le sang de Kjeld s'est répandu, on ne lève plus le poing, et que l'on ne refuse plus l'aumône au mendiant. »
—Halvor Arenson, prêtre kjeldorien",,
Hallowed Ground,ME,"« Qu'à cet endroit où le sang de Kjeld s'est répandu, on ne lève plus le poing, et que l'on ne refuse plus l'aumône au mendiant. »
—Halvor Arenson, prêtre kjeldorien",,
Hallowed Moonlight,ORI,Les créatures des ténèbres se cachent instinctivement de la lumière.,,
Halo Hunter,ZEN,"Suspendus aux murs de son repaire, les halos déchus éclairent sa dépravation d'une lumière éternelle.",,
Halt Order,SOM,La missive mentale la plus redoutée d'un artificier est probablement « J'ai le regret de vous informer que la subvention de votre projet a été annulée. »,,
Hamlet Captain,ISD,"« J'aurais peur de ce combat, sale suceur de sang… si j'étais seul ! »",,
Hamletback Goliath,C15,"« Quand on vit sur le dos d'un géant, il n'y a qu'un individu à craindre. »
—Gaddock Teeg",,
Hamletback Goliath,LRW,"« Quand on vit sur le dos d'un géant, il n'y a qu'un individu à craindre. »
—Gaddock Teeg",,
Hamletback Goliath,M13,"« Quand on vit sur le dos d'un géant, il n'y a qu'un individu à craindre. »
—Gaddock Teeg",,
Hamletback Goliath,MBP,"« Quand on vit sur le dos d'un géant, il n'y a qu'un individu à craindre. »
—Gaddock Teeg",,
Hamletback Goliath,MIN,"« Quand on vit sur le dos d'un géant, il n'y a qu'un individu à craindre. »
—Gaddock Teeg",,
Hamletback Goliath,STO,"« Quand on vit sur le dos d'un géant, il n'y a qu'un individu à craindre. »
—Gaddock Teeg",,
Hammer Mage,MM,"Quand il tient ses marteaux, tout lui semble être un clou.",,
Hammer of Purphoros,THS,Le monde entier est l'enclume de Purphoros.,,
Hammer of Ruin,WWK,"Forgé au marteau, détruit au marteau.",,
Hammerfist Giant,C15,"« Bien sûr, ce sont de bons clients, mais je suis contraint de reconstruire à chaque fois que les géants me rendent visite. »
—Belko, tavernier du Tonneau de titan",,
Hammerfist Giant,RAV,"« Bien sûr, ce sont de bons clients, mais je suis contraint de reconstruire à chaque fois que les géants me rendent visite. »
—Belko, tavernier du Tonneau de titan",,
Hammerhead Shark,SH,Le plaisir de nager disparaît quand on rencontre un zygène!,,
Hammerhead Shark,TPR,Le plaisir de nager disparaît quand on rencontre un zygène!,,
Hammerheim,LG,"« D'un vague enchantement, la distance est pourvue / D'un manteau d'azur orne le flanc des monts. »
—Thomas Campbell, Plaisirs de l'espérance",,
Hammerheim,ME3,"« D'un vague enchantement, la distance est pourvue / D'un manteau d'azur orne le flanc des monts. »
—Thomas Campbell, Plaisirs de l'espérance",,
Hana Kami,CHK,Il pousse sur les terres chauffées par la fierté et arrosées par les larmes.,,
Hana Kami,MMA,Il pousse sur les terres chauffées par la fierté et arrosées par les larmes.,,
Hanabi Blast,CHK,"Les sorts de feu akki les plus puissants furent développés au prix de beaucoup de sang, de larmes, de sueur, mais aussi d'un nez ou deux.",,
Hand of Cruelty,SOK,« L'épée n'est qu'un outil. C'est la main du samouraï qui porte le coup mortel. »,,
Hand of Death,P2,Le toucher de la mort n'est jamais doux.,,
Hand of Death,PT,"la Mort réclame tout, surtout les âmes sombres.",,
Hand of Death,PT,"la Mort réclame tout, surtout les âmes sombres.",3,
Hand of Death,PT,Le toucher de la mort n'est jamais doux.,1,
Hand of Death,S00,Le toucher de la mort n'est jamais doux.,2,
Hand of Death,S2,Le toucher de la mort n'est jamais doux.,,
Hand of Death,ST,Le toucher de la mort n'est jamais doux.,,
Hand of Emrakul,ROE,"« Je croyais en un dieu de beauté. Mais ceci est le vrai visage du divin. »
—Ayli, clerc de Kamsa",,
Hand of Honor,SOK,« L'épée n'est qu'un outil. C'est la main du samouraï qui lui donne la vie. »,,
Hand of Justice,FE,"« La main de justice viendra nettoyer le monde si nous sommes fidèles. »
—Oliver Farrel",,
Hand of Justice,ME,"« La main de justice viendra nettoyer le monde si nous sommes fidèles. »
—Oliver Farrel",,
Hand of Silumgar,DTK,"Silumgar dispense sa magie à ses favoris, leur permettant ainsi de répandre son mépris sur la contrée.",,
Hand to Hand,TE,Le duel entre Tahngarth et Grêvën n'était équitable que dans l'esprit du minotaure.,,
"Hanna, Ship's Navigator",IN,"« Je n'avais jamais pensé que je passerai ma vie à me battre. J'étais faite pour bâtir, non pour détruire. »",,
"Hanna, Ship's Navigator",JCG,"« Je n'avais jamais pensé que je passerai ma vie à me battre. J'étais faite pour bâtir, non pour détruire. »",,
"Hanna, Ship's Navigator",JGC,"« Je n'avais jamais pensé que je passerai ma vie à me battre. J'étais faite pour bâtir, non pour détruire. »",,
Hanna's Custody,TE,"Je protégerais l'Héritage de ma vie si nécessaire, car sa destinée est bien plus importante que la mienne.
—Hanna, navigatrice de l'Aquilon.",,
Hanweir Militia Captain,PRE,"Sa réputation inspire loyauté et adoration.
-----
",,
Hanweir Militia Captain,SOI,"Sa réputation inspire loyauté et adoration.
-----
",,
Hanweir Watchkeep,ISD,"Il cherche les loups, sachant qu’il y en a un qu’il ne trouvera jamais.
-----
Techniquement, il n’a jamais quitté son poste. Il suit le loup.",,
Hapless Researcher,JU,Les érudits possèdent de si hautes connaissances qu'il n'est pas surprenant que leur chute soit grande.,,
Harabaz Druid,WWK,"« Je me moque des trésors. La terre m'appelle, et je ne saurai me reposer avant que mes pieds en aient foulé la moindre parcelle. »",,
Harbinger of Night,MI,"Embrasser l'Annonciateur.
—Expression souk'ata signifiant « abandonner tout espoir ».",,
Harbinger of the Hunt,DTK,Le souffle d'un dragon d'Atarka cuit tout ce que son inspiration consume.,,
Harbinger of the Hunt,INP,Le souffle d'un dragon d'Atarka cuit tout ce que son inspiration consume.,,
Harbinger of the Hunt,MBP,Le souffle d'un dragon d'Atarka cuit tout ce que son inspiration consume.,,
Harbinger of the Hunt,MIN,Le souffle d'un dragon d'Atarka cuit tout ce que son inspiration consume.,,
Harbinger of the Hunt,PRE,Le souffle d'un dragon d'Atarka cuit tout ce que son inspiration consume.,,
Harbor Bandit,M13,Il jette toujours une babiole dans la baie en gage de reconnaissance aux ondins qui lui ont appris les ficelles du métier.,,
Harbor Guardian,MI,"« Nos vigiles lèvent une taxe sur tous les commerçants. Les voyageurs avisés paient avec un minimum d'histoires. »
—Qhattib, visir d'Amikat.",,
Harbor Serpent,M11,"Comme la plupart des monstres géants vénérés comme des dieux par les villageois, c'est un maître capricieux.",,
Harbor Serpent,M12,"Comme la plupart des monstres géants vénérés comme des dieux par les villageois, c'est un maître capricieux.",,
Harbor Serpent,M13,"Comme la plupart des monstres géants vénérés comme des dieux par les villageois, c'est un maître capricieux.",,
Hardened Berserker,DTK,"« Détachez-le et suivez la charge. »
—Yikaro, guerrier d'Atarka",,
Hardened Scales,KTK,"« Les nagas perdent leurs écailles. Nous portons les nôtres avec fierté. »
—Golrâne, capitaine écailledragon",,
Hardened Scales,PRE,"« Les nagas perdent leurs écailles. Nous portons les nôtres avec fierté. »
—Golrâne, capitaine écailledragon",,
Harm's Way,DDG,"Même quand le destin est déjà écrit, il y a toujours moyen de changer les noms.",,
Harm's Way,KVD,"Même quand le destin est déjà écrit, il y a toujours moyen de changer les noms.",,
Harm's Way,M10,"Même quand le destin est déjà écrit, il y a toujours moyen de changer les noms.",,
Harmattan Efreet,6E,"« Je marchais tranquillement sur la plage et, l'instant d'après, j'étais en l'air, fixant un hideux visage grimaçant. »
—Taroub, femme marin souk'ata.",,
Harmattan Efreet,MI,"« À un moment je marchais le long de la plage, et l'instant d'après j'étais en l'air, fixant un hideux visage grimaçant. »
—Taroub, femme marin souk'ata.",,
Harmless Assault,ROE,"Après l'avoir emprisonné dans un rayon de lumière paralysant, l'ange étudia l'Eldrazi comme un enfant contemple un insecte, avec curiosité et sans crainte.",,
Harmonic Convergence,UL,"Quand les étoiles éternelles s'alignent, les simples mortels peuvent-ils résister ?",,
Harmonic Sliver,TSP,"« Depuis l'arrivée du dernier slivoïde, même nos reliques les plus puissantes éclatent dès qu'on les approche de l'essaim. »
—Llanach, ranger de Linciel",,
Harmonize,AEVG,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,AGVL,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,ARC,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,C13,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,CMD,« Les mondes sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,DD3,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,DDD,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,EVG,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,GVL,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harmonize,PLC,"« On n'apprend rien de la vie par méditation et par concentration. Il est plus important de respirer et de regarder autour de soi. »
—Selton, druide centaure",,
Harmonize,REW,« Les mots sont mensonges. Les gens sont mensonges. La terre est vérité. »,,
Harness the Storm,PRE,"« Rien ne vaut un laboratoire sur un toit pendant un orage. C'est là que frappent les éclairs de génie. »
—Renna, alchimiste de Selhoff",,
Harness the Storm,SOI,"« Rien ne vaut un laboratoire sur un toit pendant un orage. C'est là que frappent les éclairs de génie. »
—Renna, alchimiste de Selhoff",,
Harpoon Sniper,LRW,"Faits d'arêtes de barbillons, les harpons des arbalètes suires peuvent traverser un tronc d'arbre.",,
Harrier Griffin,GP,"Sur le Marché Sélénien, les commerçants vendent un parfum aux coupe-bourses et autres criminels. Ceux qui en sont aspergés font office « d'appâts à griffon. »",,
Harrow,C14,La nature ne renonce jamais.,,
Harrow,DDE,La nature ne renonce jamais.,,
Harrow,DDP,La nature ne renonce jamais.,,
Harrow,IN,La nature ne renonce jamais.,,
Harrow,PVC,La nature ne renonce jamais.,,
Harrow,REW,"Changer le paysage de Rajh, c'est comme retirer la croûte d'une blessure.",,
Harrow,TE,"Changer le paysage de Rajh, c'est comme retirer la croûte d'une blessure.",,
Harrow,TPR,La nature ne renonce jamais.,,
Harrow,ZEN,"Le Roulis redessine le monde sur son passage, ne laissant derrière lui que les hèdrons inchangés.",,
Harrow,ZVE,La nature ne renonce jamais.,,
Harrowing Journey,DKA,"« Il y a toujours des inconscients qui tentent de traverser le Col de Kruin avant le coucher du soleil et ils ont de la chance s'ils en sortent en vie. »
—Le Vieux Rutstein",,
Harsh Judgment,IN,"« Au moins se souviennent-ils de moi. »
—Gerrard.",,
Harsh Mercy,ON,"« Il n'y a pas plus lourd fardeau que choisir qui aura la vie sauve. »
—Kamahl, acolyte druide",,
Harsh Sustenance,FRF,Les Landes changeantes fournissent un refuge à ceux qui savent où chercher.,,
Harvest Gwyllion,EVE,Son vocabulaire se limite à de viles épithètes ; les malédictions et les obscénités qu'elle crache font souffrir tous ceux qui les entendent.,,
Harvest Hand,SOI,"La moisson n'est jamais terminée.
-----
",,
Harvest Mage,NE,« Pourquoi se contenter de ce que l'on a vous la main ? »,,
Harvest Pyre,ISD,Les cadavres détruits par le feu produisent les geists le plus destructeurs.,,
Harvest Wurm,WL,"Un tissage de guivre.
—Expression elfe signifiant « labour des champs ».",,
Harvester Druid,JU,"« À la fin, c'est la même terre qui recouvre les champs, remplit les montagnes et tapisse les mers. »",,
Harvester of Souls,AVR,"« Il est à la fois juge, juré et exécuteur car il les a tous tués. »
—Évêque Cawle d'Elgaud",,
Harvester of Souls,DDQ,"« Il est à la fois juge, juré et exécuteur car il les a tous tués. »
—Évêque Cawle d'Elgaud",,
Harvester Troll,OGW,"Indifférents au conflit qui les entoure, les trolls continuent à chasser tout ce qui s'aventure sur leurs terres.",,
Harvestguard Alseids,JOU,Les boucliers ne sont pas tous faits de fer ou de bronze.,,
Hatchet Bully,EVE,"« Y a pas grand-chose à manger, mais j'crois qu'on peut en faire quelque chose. »",,
Hatching Plans,GP,"Une vision si belle, si délicate et sciselée — et pourtant, un véritable plaisir à anéantir.",,
Hate Weaver,10E,« Laisse ma haine alimenter ta fureur. »,,
Hate Weaver,IN,« Laisse ma haine alimenter ta fureur. »,,
Hateflayer,EVE,Il n'a pas de côté inoffensif.,,
Hatred,EX,"« J'écorcherai ta chair, j'arracherai tes os, je sucerai ta moelle. Tu souffriras comme nul jamais n'avait souffert. »
—Grëvën il-Vec, à Gerrard.",,
Haunted Cloak,SOI,Portez le poids d'autant d'esprits et vous abandonnerez civilité et retenue pour adopter instinct et sauvagerie.,,
Haunted Crossroads,MM,"Il semblait que personne ne voulait atteindre le cromlech de Ramos, pas même les morts.",,
Haunted Fengraf,C14,Le terrain de jeu du meneur de goule.,,
Haunted Fengraf,DKA,Le terrain de jeu du meneur de goule.,,
Haunted Guardian,AVR,"« Videz la victime de son sang, vendez le corps et utilisez l'âme comme gardien. Pas d'histoire, pas de gâchis, pas de problème. »
—Olivia Voldaren",,
Haunter of Nightveil,DGM,"Les Dimir recourent aux esprits de défunts ravnicans sans nom, en guidant leur malveillance vers les victimes désignées.",,
Haunting Apparition,MI,"Comme s'il était un herbivore perverti, il broutait sur les cadavres.",,
Haunting Hymn,TSP,"La mélodie persiste depuis l'époque de Tourach, mais les paroles changent pour invoquer les phobies de ceux qui l'écoutent.",,
Haunting Misery,WL,"« La peine à laquelle je suis condamné ne connaîtra pas de fin. »
—Crovax.",,
Haunting Wind,AQ,"Ces dispositifs attirait tant les esprits que, parfois, des champs de bataille entiers devenaient hantés...",,
Havengul Lich,DKA,Fusionner l'intelligence et la puissance de la morte-vie nécessite l'inspiration la plus noire.,,
Havengul Runebinder,DDQ,« Tant de cadavres et si peu de temps. »,,
Havengul Runebinder,DKA,« Tant de cadavres et si peu de temps. »,,
Havengul Skaab,AVR,Une abomination d'une telle violence que les autres monstres tremblent à sa vue.,,
Havengul Vampire,AVR,« Ce pouls qui décroît peu à peu...c'est la valse sur laquelle j'aime danser. »,,
Havenwood Wurm,TSP,"Les failles temporelles déposent les créatures fouisseuses d'hier dans la terre dure et desséchée du présent. La plupart y meurent, prises au piège, mais les plus puissantes jaillissent à la surface.",,
Havoc,TE,"Lorsque Orime posa la baguette lumineuse sur la proue, elle lança un sort de protection pour se garder de la chaleur. Le Fourneau prit cela comme une insulte personnelle.",,
Havoc Demon,LE,Un cri de douleur quand il arrive dans ce monde. Une cacophonie de hurlements quand il le quitte.,,
Havoc Festival,RTR,"« Il est impossible de contrôler des ennemis qui n'ont aucun égard pour leur propre survie. »
—Courtière Lavinia, Dixième circonscription",,
Havoc Sower,OGW,Il se développait à une vitesse effrayante.,,
Hawkeater Moth,US,"Chaque jour, au crépuscule, les oiseaux se taisent au-dessus de la canopée.",,
Hazduhr the Abbot,HL,"« Bientôt, Serra reviendra et désignera le successeur de l'Abbé ou nous serons tous perdus. »
—Gulsen, Mère abbesse.",,
Haze Frog,ROE,Son souffle étourdit ses proies pour éviter qu'elles ne luttent.,,
Hazerider Drake,MI,"« Le chevaucheur des nuées dansait dans la tempête et chantait avec le tonnerre. »
—Afari, Récits.",,
Hazy Homunculus,PY,"Ils se cachent dans les rêves, les murmures et les pensées secrètes.",,
Headless Horseman,LG,"« Le fantôme chevauche la nuit vers le théâtre du combat, à la recherche de sa tête...il traverse quelquefois le vallon, semblable à une rafale de minuit... »
—Washington Irving, La Légende du Vallon endormi",,
Headless Skaab,DKA,On peut se passer d'une tête quand le muscle est tout ce qui compte.,,
Headlong Rush,US,"Un déferlement de gobelins jaillit devant les défenseurs – tombant, roulant et bondissant le long de l'abrupte colline.",,
Headstone,HL,"« La pierre tombale est la dernière page du livre de votre vie. »
—Murat, psychopompe.",,
Heal,5E,"« Parfois, même la plus simple des bénédictions peut sauver une vie. »
—Halvor Arenson, prêtre kjeldorien.",,
Heal,IA,"« Parfois même la plus simple des bénédictions peut sauver une vie. »
—Halvor Arenson, prêtre kjeldorien",,
Heal,ME3,"« Parfois, même la plus simple des bénédictions peut sauver une vie. »
—Halvor Arenson, prêtre kjeldorien.",,
Heal the Scars,LRW,"La magie de combat des elfes a fait évoluer deux spécialités : infliger des blessures qui laissent des cicatrices, et soigner des blessures sans cicatrices. Déterminer qui bénéficie de quoi est une question de politique.",,
Healer of the Pride,M13,"« Toute forme de vie a un sens. Tout être vivant, si petit soit-il, a la force. »",,
Healing Hands,ORI,Le contact éthéré apporte le soulagement. Le contact physique apporte la paix.,,
Healing Leaves,PLC,Les elfes de Llanowar se méfient de l'alchimie. Ils préfèrent se fier aux herbes fraîches qu'ils cueillent dans le cœur sacré des forêts.,,
Healing Salve,ADVD,"Xantcha est sur la voie de la guérison. Le remède est lent, mais ma magie l'aurait tuée.
—Serra, à Urza.",,
Healing Salve,BR,"Xantcha est sur la voie de la guérison. Le remède est lent, mais ma magie l'aurait tuée.
—Serra, à Urza.",,
Healing Salve,DVD,"Xantcha est sur la voie de la guérison. Le remède est lent, mais ma magie l'aurait tuée.
—Serra, à Urza.",,
Healing Salve,MI,"« Les Fémeirefs se tournent seulement vers le Soleil pour guérir , ils ne comprennent pas vraiment le cycle de la vie. »
—Kifimbo, ghildmage des Ombres.",,
Healing Salve,US,"Xantcha est sur la voie de la guérison. Le remède est lent, mais ma magie l'aurait tuée.
—Serra, à Urza.",,
Heap Doll,SHM,"« Je sais qu'une nuit, elle ne reviendra pas. Cela voudra dire qu'elle aura accompli sa tâche. »
—Braenna, ravaudeuse",,
Heart of Light,10E,"Pour ceux qui atteignent l'illumination, la violence est une distraction inutile.",,
Heart of Light,BOK,"« Il y a une lumière dans le cœur des mortels que même les kami ne peuvent atteindre. »
—Sensei Queue-dorée",,
Heart of Ramos,MM,"Ramos saigne, et le feu fut.",,
Heart Sliver,H09,"Gerrard cherchait alentour la source de cette mystérieuse pulsation, lorsque soudain les slivoïdes jaillirent de la crevasse.",,
Heart Sliver,SLI,"Gerrard cherchait alentour la source de cette mystérieuse pulsation, lorsque soudain les slivoïdes jaillirent de la crevasse.",,
Heart Sliver,TE,"Gerrard cherchait alentour la source de cette mystérieuse pulsation, lorsque soudain les slivoïdes jaillirent de la crevasse.",,
Heart Warden,UD,"« À Llanowar, nous soignons les rameaux et les branches. En Yavimaya, nous faisons corps avec eux. »
—Rofellos de Llanowar.",,
Heart-Piercer Bow,KTK,"Conçus par un ancien artificier, les meilleurs arcs marduens sont taillés dans l'os de dragon, avec le vent en guise de corde.",,
Heartbeat of Spring,CHK,"« Les moines détiennent la clé du paradis, mais peu comprennent que le paradis dont nous sommes les gardiens est intérieur. »
—Journal d'Azusa",,
Hearth Kami,CHK,"« Toute trahison, quelle qu'elle soit, engendre un esprit enragé par cette injustice. S'il le peut, il rendra la pareille au traître au centuple. »
—Sensei Hisoka",,
Hearthcage Giant,LRW,Les sangpyres ne sont que du petit bois pour le chauffer.,,
Hearthfire Hobgoblin,EVE,Il vaut mieux laisser les lutins tranquilles. Ils aiguisent leurs outils de ferme bien plus que nécessaire pour travailler dans les champs.,,
Hearthfire Hobgoblin,HOP,Il vaut mieux laisser les lutins tranquilles. Ils aiguisent leurs outils de ferme bien plus que nécessaire pour travailler dans les champs.,,
Hearthfire Hobgoblin,MM2,Il vaut mieux laisser les lutins tranquilles. Ils aiguisent leurs outils de ferme bien plus que nécessaire pour travailler dans les champs.,,
